,0
1317,SUNDARMHLD
1318,SUNDRMBRAK
1319,SUNDRMFAST
1320,SUNFLAG
1321,SUNPHARMA
1322,SUNTECK
1323,SUNTV
1324,SUPERHOUSE
1325,SUPERSPIN
1326,SUPPETRO
1327,SUPRAJIT
1328,SUPREMEIND
1329,SURANASOL
1330,SURANAT&P
1331,SURYALAXMI
1332,SURYAROSNI
1333,SUTLEJTEX
1334,SUVEN
1335,SUVENPHAR
1336,SUZLON
1337,SWANENERGY
1338,SWARAJENG
1339,SWSOLAR
1340,SYMPHONY
1341,SYNGENE
1342,TAINWALCHM
1343,TAJGVK
1344,TAKE
1345,TALBROAUTO
1346,TANLA
1347,TARMAT
1348,TASTYBITE
1349,TATACHEM
1350,TATACOFFEE
1351,TATACOMM
1352,TATACONSUM
1353,TATAELXSI
1354,TATAINVEST
1355,TATAMETALI
1356,TATAMOTORS
1357,TATAMTRDVR
1358,TATAPOWER
1359,TATASTEEL
1360,TATASTLBSL
1361,TATASTLLP
1362,TBZ
1363,TCI
1364,TCIDEVELOP
1365,TCIEXP
1366,TCIFINANCE
1367,TCNSBRANDS
1368,TCPLPACK
1369,TCS
1370,TDPOWERSYS
1371,TEAMLEASE
1372,TECHIN
1373,TECHM
1374,TECHNOE
1375,TEJASNET
1376,TERASOFT
1377,TEXINFRA
1378,TEXMOPIPES
1379,TEXRAIL
1380,TFCILTD
1381,TGBHOTELS
1382,THANGAMAYL
1383,THEINVEST
1384,THEMISMED
1385,THERMAX
1386,THOMASCOOK
1387,THYROCARE
1388,TI
1389,TIDEWATER
1390,TIIL
1391,TIINDIA
1392,TIJARIA
1393,TIL
1394,TIMESGTY
1395,TIMETECHNO
1396,TIMKEN
1397,TINPLATE
1398,TIPSINDLTD
1399,TIRUMALCHM
1400,TIRUPATIFL
1401,TITAN
1402,TMRVL
1403,TNPETRO
1404,TNPL
1405,TOKYOPLAST
1406,TORNTPHARM
1407,TORNTPOWER
1408,TOTAL
1409,TOUCHWOOD
1410,TPLPLASTEH
1411,TREEHOUSE
1412,TRENT
1413,TRF
1414,TRIDENT
1415,TRIGYN
1416,TRIL
1417,TRITURBINE
1418,TRIVENI
1419,TTKHLTCARE
1420,TTKPRESTIG
1421,TTL
1422,TTML
1423,TV18BRDCST
1424,TVSELECT
1425,TVSMOTOR
1426,TVSSRICHAK
1427,TVTODAY
1428,TWL
1429,UBL
1430,UCALFUEL
1431,UCOBANK
1432,UFLEX
1433,UFO
1434,UGARSUGAR
1435,UJAAS
1436,UJJIVAN
1437,UJJIVANSFB
1438,ULTRACEMCO
1439,UMANGDAIRY
1440,UMESLTD
1441,UNICHEMLAB
1442,UNIDT
1443,UNIENTER
1444,UNIONBANK
